Admit ID,Trial % Present,Trial Last Internal Rating,Trial Avg TRACK Score,Trial Techability Score,Trial Learnability Score,Trial Communicability Score,Practice Head,RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP- Learnability,RFP-Communicability,RFP Avg TRACK Score,Last Graduation,Year,TechCategory
CIC062022-12177,92.31%,,3.89,0.88,,,Nagendra,16.39%,,,0,,,,,B.E. / B.TECH CS,2012,
CIC062022-12170,92.31%,Meets expectations,3.98,0.82,,,Nagendra,98.36%,Need Less Help,Improvement needed,4.28,1.533333333,1.72,0.84,4.09,B.E. / B.TECH CS,2019,FullStack
CIC052022-12097,100.00%,Improvement needed,3.33,0.69,,,Sunil,100.00%,Need More Help,Unsatisfactory,3.33,1.38,1.371428571,0.7714285714,3.52,B.E. / B.TECH,2018,BasicTech
CIC052022-12106,76.92%,,3,0.76,,,Sunil,40.74%,Need Less Help,Improvement needed,2.66,1.026666667,1.073333333,0.56,2.66,BCA,2016,
CIC062022-12213,84.62%,,2.38,0.49,,,Sunil,75.56%,,,0,1.28125,1.445,0.71875,3.45,,,
CIC072022-12452,0.00%,,,,,,Ashish,82.35%,Need More Help,Improvement needed,3.08,1.2575,1.375,0.6625,3.3,B.E. / B.TECH CS,2020,
CIC072022-12453,0.00%,,,,,,Ashish,97.06%,Need Less Help,Improvement needed,3.6,1.39,1.475,0.88,3.75,B.E. / B.TECH Non IT,2020,
CIC072022-12454,0.00%,,,,,,Ashish,97.06%,Need More Help,Improvement needed,3.41,1.3125,1.445,0.85,3.61,B.E. / B.TECH IT,2021,
CIC072022-12455,0.00%,,,,,,Ashish,100.00%,Need Less Help,Improvement needed,3.53,1.345,1.52,0.82,3.69,BSc IT,2021,
CIC052022-12119,100.00%,Improvement needed,2.97,0.93,1.34,0.7,Ashish,15.38%,,,0,,,,,BSc CS,2018,
CIC112021-10232,86.67%,Meets expectations,3.19,1.29,1.32,0.59,Ashish,85.00%,Need More Help,Improvement needed,3.67,1.258333333,1.568333333,0.83,3.66,B.E. / B.TECH,2019,FullStack
CIC042022-11773,78.57%,Meets expectations,3.55,1.31,1.48,0.755,Ashish,52.63%,,,0,,,,,B.E. / B.TECH,2020,
CIC062022-12269,92.31%,Meets expectations,2.98,0.63,,,Ashish,68.33%,Need More Help,Improvement needed,3.05,1.253333333,1.208333333,0.5833333333,3.05,BCA,2018,BasicTech
CIC062022-12294,84.62%,Meets expectations,3.38,0.82,,,Ashish,90.38%,Need Less Help,Improvement needed,3.325,1.2075,1.476666667,0.74,3.42,B.E. / B.TECH IT,2022,FullStack
CIC042022-11683,92.31%,Meets expectations,3.59,0.79,,,Ashish,0.00%,,,0,,,,,B.E. / B.TECH Non IT,2022,
CIC062022-12261,100.00%,Meets expectations,4.35,0.91,,,Ashish,76.92%,Need Less Help,Meets expectations,3.575,1.316875,1.49,0.775,3.58,MSc Non IT,2021,AdvTech-1
CIC062022-12252,76.92%,Meets expectations,3.06,0.76,,,Ashish,75.00%,Need No Help,Exceeds expectations,3.935,1.58125,1.685,0.82,4.09,MSc CS/IT,2022,FullStack
CIC062022-12174,100.00%,Meets expectations,2.96,0.62,,,Ashish,100.00%,Need Less Help,Improvement needed,3.5,1.3125,1.41,0.7125,3.44,B.E. / B.TECH CS,2017,FullStack
CIC042022-11836,100.00%,Improvement needed,3.89,1.57,1.69,0.63,Ashish,66.67%,Need More Help,Improvement needed,3.24,1.24,1.465,0.775,3.48,B.E. / B.TECH,2022,
CIC062022-12175,78.57%,Improvement needed,3.5,1.12,1.53,0.85,Sunil,91.30%,Need More Help,Improvement needed,3.505,1.225,1.52,0.76,3.51,BCA,2018,
CIC062022-12254,100.00%,Meets expectations,4.02,0.91,,,Ashish,98.08%,Need Less Help,Meets expectations,3.68,1.33625,1.5325,0.725,3.59,BSc Non IT,2021,FullStack
CIC062022-12179,78.57%,Improvement needed,3.5,1.15,1.57,0.79,Gunjan,64.15%,Need Less Help,Improvement needed,3.74,1.328,1.452,0.696,3.48,BSc Non IT,2019,AdvTech-1
CIC062022-12317,100.00%,Meets expectations,3.83,0.94,,,Gunjan,62.26%,Need More Help,Improvement needed,2.87,1.12,1.134,0.574,2.83,B.E. / B.TECH CS,2020,BasicTech
CIC062022-12303,100.00%,Improvement needed,3.25,0.94,,,Gunjan,58.49%,Need More Help,Improvement needed,2.66,1.148,1.106,0.518,2.77,B.E. / B.TECH Non IT,2020,BasicTech
CIC062022-12318,100.00%,Meets expectations,4.18,1,,,Gunjan,100.00%,,,,1.623,1.662,0.9625,4.25,B.E. / B.TECH CS,2021,FullStack
CIC042022-11706,100.00%,Meets expectations,3.86,0.97,,,Gunjan,49.06%,Need More Help,Improvement needed,2.52,1.12,1.078,0.574,2.77,Other Non IT,2016,
CIC062022-12311,100.00%,Improvement needed,3.31,0.91,,,Gunjan,92.19%,,,,1.519,1.398,0.7225,3.64,B.E. / B.TECH Non IT,2021,FullStack
CIC062022-12257,100.00%,Exceeds expectations,4.57,1,,,Gunjan,65.63%,,,,1.452857143,1.538571429,0.7125,3.75,M.E. / M.Tech CS/IT,2019,FullStack
CIC062022-12273,100.00%,Meets expectations,4.19,1,,,Gunjan,95.31%,,,,1.496,1.658,0.7,3.85,B.E. / B.TECH CS,2018,FullStack
CIC062022-12308,100.00%,Meets expectations,3.89,0.97,,,Gunjan,100.00%,,,,1.551,1.497,0.7,3.75,B.E. / B.TECH CS,2022,FullStack
CIC062022-12268,100.00%,Exceeds expectations,4.2,1,,,Gunjan,0.00%,,,0,0.42,1.19,0.56,2.17,B.E. / B.TECH,2021,
CIC062022-12314,100.00%,Exceeds expectations,4.16,0.97,,,Gunjan,100.00%,,,,1.561,1.703,0.79,4.05,B.E. / B.TECH Non IT,2019,FullStack
CIC062022-12296,100.00%,Improvement needed,3.65,0.88,,,Sunil,67.35%,,,0,1.160833333,1.42,0.7,3.28,B.E. / B.TECH,2020,
CIC062022-12274,100.00%,Meets expectations,3.92,0.91,,,Sunil,96.77%,Need Less Help,Meets expectations,4.1,1.65,1.54,0.82,4.01,B.E. / B.TECH CS,2021,FullStack
CIC052022-11954,60.00%,Improvement needed,3.06,1.19,1.25,0.62,Sunil,59.32%,,,,1.14,1.575,0.745,3.46,B.E. / B.TECH,2021,
CIC062022-12337,100.00%,Meets expectations,4.61,0.94,,,Sunil,93.55%,Need More Help,Improvement needed,3.74,1.595,1.5,0.77,3.87,B.E. / B.TECH CS,2018,FullStack
CIC062022-12320,100.00%,Improvement needed,3.22,0.63,,,Sunil,92.86%,,,,1.08125,1.625,0.815,3.52,B.E. / B.TECH,2018,BasicTech
CIC092021-9834,84.62%,Improvement needed,3.48,0.63,,,Sunil,6.12%,,,0,,,,,B.E. / B.TECH,2022,
CIC062022-12338,100.00%,Meets expectations,4.67,0.94,,,Sunil,77.55%,Need More Help,Improvement needed,3.43,1.525,1.445,0.715,3.69,B.E. / B.TECH,2021,BasicTech
CIC062022-12302,100.00%,Meets expectations,4.12,0.82,,,Sunil,22.58%,,,0,1.4,1.4,0.7,3.5,B.E. / B.TECH Non IT,2020,
CIC062022-12328,100.00%,Meets expectations,3.89,0.82,,,Sunil,89.83%,,,,1.185,1.6375,0.88,3.7,B.E. / B.TECH,2019,BasicTech
CIC062022-12369,84.62%,Unsatisfactory,2.78,0.88,,,,,,,,,,,,B.E. / B.TECH,2022,
CIC062022-12307,92.31%,Unsatisfactory,2.65,0.75,,,Sunil,100.00%,,,0,,,,,BSc,2020,
CIC062022-12298,100.00%,Improvement needed,3.58,0.82,,,Ashish,89.06%,Need Less Help,Improvement needed,3.83,1.295,1.6275,0.88,3.8,MSc CS/IT,2020,FullStack
CIC052022-12111,91.67%,Improvement needed,3.61,0.82,,,Ashish,17.19%,,,0,,,,,MCA,2021,
CIC062022-12219,100.00%,Improvement needed,3.89,0.82,,,Ashish,9.38%,,,0,,,,,B.E. / B.TECH Non IT,2021,
CIC062022-12249,100.00%,Improvement needed,3.73,0.88,,,Sunil,90.91%,Need Less Help,Meets expectations,4.04,1.748,1.508,0.784,4.04,B.E. / B.TECH,2015,
CIC062022-12181,100.00%,Meets expectations,3.74,0.94,,,Ashish,57.35%,,,0,,,,,B.E. / B.TECH,2018,BasicTech
CIC052022-12046,100.00%,,2.83,1.05,1.08,0.7,Ashish,87.50%,Need Less Help,Meets expectations,4.035,1.19125,1.49,0.835,3.52,B.E. / B.TECH,2018,FullStack
CIC062022-12256,100.00%,Improvement needed,3.36,0.6,,,Sunil,70.91%,Need Less Help,Meets expectations,3.9,1.668,1.544,0.748,3.96,B.E. / B.TECH,2021,
CIC062022-12322,84.62%,Improvement needed,3.35,0.63,,,Sunil,80.00%,Need Less Help,Meets expectations,4.1,1.784,1.532,0.748,4.06,B.E. / B.TECH,2020,
CIC042022-11722-BL,100.00%,Meets expectations,3.95,1.55,1.58,0.82,Ashish,98.53%,,,4.04,1.542,1.712,0.854,4.11,B.E. / B.TECH CS,2018,
CIC052022-12052-BL,100.00%,Meets expectations,4.17,1.59,1.67,0.91,Ashish,100.00%,,,0,1.43,1.4,0.73,3.56,B.E. / B.TECH Non IT,2019,
CIC052022-12059-BL,100.00%,,4.2,1.5,1.76,0.94,Ashish,100.00%,,,3.92,1.518,1.604,0.82,3.94,B.E. / B.TECH Non IT,2021,
CIC052022-12139-BL,100.00%,Improvement needed,3.74,1.46,1.55,0.73,Ashish,100.00%,,,3.74,1.432,1.478,0.758,3.67,B.E. / B.TECH Non IT,2018,
CIC052022-12142-BL,100.00%,Improvement needed,2.65,0.95,1.08,0.625,Ashish,100.00%,,,3.86,1.336,1.436,0.77,3.54,B.E. / B.TECH Non IT,2019,
CIC062022-12306,100.00%,,3.22,0.7,,,Gunjan,95.65%,Need Less Help,Meets expectations,4.46,1.704444444,1.86,0.9466666667,4.51,B.E. / B.TECH Non IT,2018,FullStack
CIC062022-12316,100.00%,Improvement needed,3.85,0.85,,,Ashish,72.06%,Need More Help,Improvement needed,3.4225,1.08,1.335,0.755,3.17,B.E. / B.TECH,2018,BasicTech
CIC062022-12339,100.00%,Improvement needed,3.69,0.7,,,Gunjan,94.20%,Need Less Help,Meets expectations,4.46,1.44875,1.57875,0.865,3.89,B.E. / B.TECH Non IT,2020,FullStack
CIC062022-12334,92.31%,Meets expectations,4.46,0.94,,,Gunjan,57.97%,Need No Help,Exceeds expectations,4.76,1.72,1.79,0.95,4.46,MSc CS/IT,2017,FullStack
CIC062022-12367,100.00%,Improvement needed,4.16,0.85,,,Gunjan,2.90%,,,,,,,,MCA,2020,
CIC062022-12371,84.62%,Meets expectations,4.7,1,,,Gunjan,87.04%,Need Less Help,Improvement needed,3.54,1.273333333,1.67,0.7333333333,3.68,B.E. / B.TECH,2017,FullStack
CIC062022-12379,100.00%,Meets expectations,4.04,0.85,,,Gunjan,57.97%,Need No Help,Exceeds expectations,4.76,1.84,1.83,1,4.67,M.E. / M.Tech CS/IT,2019,FullStack
CIC062022-12408,100.00%,Improvement needed,4.48,1,,,Sunil,16.67%,Need Less Help,Improvement needed,3.355,1.345,1.25,0.59,3.19,B.E. / B.TECH,2020,
CIC032022-11650,92.31%,Meets expectations,3.84,0.94,,,Gunjan,8.70%,,,0,,,,,PG Non IT,,
CIC062022-12313,84.62%,,,,,,Gunjan,94.20%,Need More Help,Improvement needed,3.5,1.4075,1.4225,0.69875,3.53,B.E. / B.TECH,2018,FullStack
CIC062022-12326,92.31%,Meets expectations,3.73,0.88,,,Nagendra,96.23%,Need Less Help,Meets expectations,4.04,1.511111111,1.612222222,0.7933333333,3.92,MCA,2019,FullStack
CIC062022-12331,92.31%,Meets expectations,4.73,0.94,,,Nagendra,100.00%,Need More Help,Improvement needed,3.85,1.427777778,1.58,0.7577777778,3.77,B.E. / B.TECH CS,2021,FullStack
CIC062022-12265,100.00%,Improvement needed,3.77,0.88,,,Nagendra,96.23%,Need More Help,Improvement needed,3.41,1.41125,1.4975,0.745,3.65,B.E. / B.TECH CS,2022,FullStack
CIC062022-12259,100.00%,Meets expectations,4.04,0.82,,,Gunjan,84.75%,Need Less Help,Meets expectations,3.8,1.47,1.44375,0.6825,3.6,B.E. / B.TECH,2019,FullStack
CIC062022-12376,92.31%,Improvement needed,3.73,0.88,,,,,,,,,,,,B.E. / B.TECH,2021,
CIC042022-11675,92.31%,Unsatisfactory,2.78,0.88,,,Nagendra,43.40%,Need More Help,Improvement needed,2.52,0.9975,0.9975,0.5075,2.5,MSc Non IT,2019,
CIC032022-11469,66.67%,Meets expectations,3.14,1.19,1.19,0.76,Nagendra,51.85%,,,,,,,,B.E. / B.TECH,2021,
CIC062022-12343,76.92%,Improvement needed,3.96,0.7,,,Nagendra,94.34%,Need More Help,Improvement needed,3.44,1.381875,1.42625,0.7825,3.59,B.E. / B.TECH IT,2020,FullStack
CIC062022-12329,100.00%,Improvement needed,4.13,0.97,,,,,,,,,,,,B.E. / B.TECH,2022,
CIC062022-12319,92.31%,Improvement needed,3.74,0.76,,,Gunjan,45.24%,Need More Help,Improvement needed,2.92,1.0125,1.44,0.7725,3.23,B.E. / B.TECH,2019,
CIC022022-11271,66.67%,Meets expectations,3.83,1.56,1.45,0.82,Nagendra,1.61%,,Improvement needed,0,,,,,B.E. / B.TECH Non IT,2021,
CIC062022-12335,100.00%,Improvement needed,3.56,0.7,,,Gunjan,80.60%,Need Less Help,Improvement needed,3.56,1.33,1.43625,0.7675,3.53,B.E. / B.TECH,2021,
CIC062022-12321,92.31%,Improvement needed,3.14,0.7,,,Gunjan,18.46%,,,0,1.166666667,1.096666667,0.56,2.82,,,
CIC062022-12411,91.67%,Improvement needed,3.33,0.73,,,Gunjan,62.69%,Need Less Help,Improvement needed,3.56,1.375,1.46,0.76,3.6,B.E. / B.TECH,2016,BasicTech
CIC062022-12304,100.00%,Improvement needed,3.65,0.8,,,Gunjan,92.86%,Need Less Help,Improvement needed,3.73,1.312857143,1.491428571,0.7771428571,3.58,B.E. / B.TECH,2021,AdvTech-1
CIC062022-12248,100.00%,Improvement needed,3.64,0.85,,,Sunil,100.00%,Need Less Help,Meets expectations,4.07,1.32,1.446666667,0.82,3.59,BSc,2019,
CIC062022-12403,100.00%,Improvement needed,2.98,0.78,,,Sunil,83.05%,,,,,,,,BCA,2022,BasicTech
CIC062022-12209,83.33%,Improvement needed,3.09,0.56,,,Sunil,42.50%,Need More Help,Improvement needed,3.0425,1.25,1.2325,0.56,3.04,B.E. / B.TECH,2022,
CIC042022-11687,85.71%,Meets expectations,3.72,1.44,1.52,0.76,Sunil,6.78%,,,0,,,,,B.E. / B.TECH CS,2022,
CIC042022-11772,100.00%,Meets expectations,3.81,0.94,,,Sunil,93.22%,Need Less Help,Improvement needed,3.22,1.357142857,1.321428571,0.6857142857,3.36,M.E. / M.Tech Non IT,2018,BasicTech
CIC062022-12404,100.00%,Meets expectations,4.62,0.97,,,Sunil,96.61%,Need Less Help,Meets expectations,4.04,1.706428571,1.502857143,0.7942857143,4,B.E. / B.TECH Non IT,2018,FullStack
CIC062022-12372,100.00%,Improvement needed,3.07,0.63,,,Sunil,32.50%,Need Less Help,Improvement needed,0,,,,,B.E. / B.TECH,2022,
CIC062022-12382,100.00%,Meets expectations,3.17,0.66,,,Sunil,65.00%,Need Less Help,Meets expectations,3.52,1.11,1.115,0.62,2.85,B.E. / B.TECH,2022,
CIC062022-12412,100.00%,Improvement needed,3.61,0.73,,,Sunil,88.14%,Need Less Help,Meets expectations,4.04,1.6735,1.47,0.76,3.9,MCA,2018,AdvTech-2
CIC062022-12305,100.00%,Meets expectations,4.32,0.91,,,Sunil,93.22%,Need Less Help,Meets expectations,4.09,1.592916667,1.56,0.84,3.99,B.E. / B.TECH Non IT,2020,FullStack
CIC062022-12410,86.67%,Improvement needed,3.19,0.76,,,Sunil,74.58%,,,,1.00875,1.535,0.715,3.26,B.E. / B.TECH,2020,BasicTech
CIC062022-12401,93.33%,Improvement needed,3.33,0.82,,,Sunil,91.53%,Need More Help,Improvement needed,3.92,1.557142857,1.487142857,0.7942857143,3.84,BCA CS,2021,FullStack
CIC072022-12415,93.33%,Meets expectations,3.73,0.91,,,Sunil,93.22%,,,,1.43,1.6625,0.955,4.05,B.E. / B.TECH,2019,FullStack
CIC072022-12434,83.33%,Improvement needed,3.74,0.73,,,Sunil,91.53%,Need Less Help,Meets expectations,4.04,1.716666667,1.53,0.78,4.03,B.E. / B.TECH Non IT,2018,FullStack
CIC062022-12384,100.00%,Improvement needed,3.69,0.82,,,,,,,,,,,,BSc,2017,
CIC062022-12312,100.00%,Meets expectations,3.77,0.91,,,Gunjan,98.55%,Need Less Help,Improvement needed,3.4,1.4125,1.386666667,0.8,3.6,MCA,2016,StdTech
CIC062022-12330,100.00%,Meets expectations,3.99,0.91,,,Gunjan,98.55%,Need Less Help,Improvement needed,3.67,1.519166667,1.56,0.85,3.93,MCA,2021,FullStack
CIC062022-12365,100.00%,Exceeds expectations,4.32,1,,,Gunjan,23.19%,,,0,1.4,1.33,0.7,3.43,B.E. / B.TECH CS,2019,
CIC062022-12381,92.31%,,,,,,Gunjan,11.11%,,,,,,,,B.E. / B.TECH,2017,
CIC072022-12417,92.31%,,4.81,0.94,,,Gunjan,97.10%,Need No Help,Meets expectations,4.16,1.682727273,1.623636364,0.8527272727,4.16,B.E. / B.TECH Non IT,2021,FullStack
CIC062022-12245,100.00%,Exceeds expectations,4.31,0.94,,,Gunjan,100.00%,Need No Help,Meets expectations,4.1,1.688181818,1.58,0.7863636364,4.05,B.E. / B.TECH Non IT,2020,FullStack
CIC062022-12244,100.00%,Exceeds expectations,4.29,0.94,,,Gunjan,100.00%,Need Less Help,Improvement needed,3.68,1.579090909,1.509090909,0.7436363636,3.83,B.E. / B.TECH Non IT,2020,FullStack
CIC062022-12243,100.00%,Exceeds expectations,4.07,0.94,,,Gunjan,100.00%,Need Less Help,Improvement needed,4.04,1.613636364,1.595454545,0.7281818182,3.94,B.E. / B.TECH Non IT,2019,FullStack
CIC072022-12427,100.00%,Exceeds expectations,4.11,0.97,,,Gunjan,91.30%,Need Less Help,Improvement needed,3.61,1.473636364,1.476363636,0.7227272727,3.67,B.E. / B.TECH IT,2020,AdvTech-1
CIC072022-12438,84.62%,,,,,,Gunjan,10.14%,,,0,,,,,B.E. / B.TECH Non IT,2020,
CIC072022-12449,100.00%,Meets expectations,3.87,0.94,,,Sunil,0.00%,,,0,,,,,B.E. / B.TECH,2015,
CIC072022-12474,100.00%,Exceeds expectations,4.09,0.91,,,Gunjan,7.25%,,,0,,,,,B.E. / B.TECH Non IT,2017,
CIC072022-12485,100.00%,Meets expectations,4,0.94,,,Gunjan,8.70%,,,0,,,,,M.E. / M.Tech Non IT,2017,
CIC072022-12483,100.00%,Meets expectations,3.99,0.94,,,Gunjan,100.00%,Need Less Help,Improvement needed,3.8,1.574166667,1.579166667,0.86,4.01,B.E. / B.TECH CS,2019,AdvTech-1
CIC072022-12498,100.00%,Meets expectations,3.97,0.97,,,Gunjan,97.10%,Need Less Help,Improvement needed,3.61,1.464375,1.434166667,0.7575,3.66,MCA,2021,AdvTech-1
CIC062022-12247,100.00%,Meets expectations,3.93,0.88,,,Gunjan,28.30%,,,0,1.166666667,1.166666667,0.6066666667,2.94,B.E. / B.TECH CS,2016,
CIC072022-12441,100.00%,Exceeds expectations,4.51,1,,,Nagendra,100.00%,Need Less Help,Improvement needed,4.27,1.632857143,1.524285714,0.7453571429,3.9,B.E. / B.TECH,2020,FullStack
CIC072022-12416,92.86%,Improvement needed,3.7,0.94,,,Nagendra,42.86%,Need Less Help,Improvement needed,0,1.45,1.33,0.6875,3.47,B.E. / B.TECH,2021,
CIC072022-12426,92.86%,Meets expectations,3.87,0.91,,,Gunjan,98.11%,Need Less Help,Meets expectations,4.04,1.597142857,1.665714286,0.8028571429,4.07,B.E. / B.TECH IT,2021,FullStack
CIC052022-12149,83.33%,Improvement needed,3.36,0.69,,,Gunjan,96.23%,Need More Help,Improvement needed,3.74,1.427142857,1.434285714,0.7257142857,3.59,B.E. / B.TECH IT,2020,AdvTech-1
CIC052022-12078,100.00%,Improvement needed,3.37,0.76,,,Gunjan,33.96%,,,0,1.306666667,1.283333333,0.63,3.22,B.E. / B.TECH Non IT,2022,
CIC062022-12271,100.00%,Meets expectations,3.82,1,,,Sunil,100.00%,,,0,,,,,B.E. / B.TECH,2021,
CIC062022-12380,100.00%,Improvement needed,3.68,0.91,,,Nagendra,100.00%,Need Less Help,Meets expectations,3.22,1.204,1.342,0.7,3.25,B.E. / B.TECH,2022,
CIC062022-12300,100.00%,Meets expectations,3.73,0.94,,,Gunjan,100.00%,Need More Help,Improvement needed,3.66,1.405714286,1.477142857,0.7771428571,3.66,B.E. / B.TECH,2021,FullStack
CIC062022-12168,78.57%,Improvement needed,3.77,1.51,1.5,0.76,Gunjan,39.62%,,,0,1.323333333,1.3,0.6533333333,3.28,B.E. / B.TECH Non IT,2020,
CIC062022-12378,100.00%,Improvement needed,3.25,0.72,,,Nagendra,86.67%,Need Less Help,Meets expectations,3.26,1.144,1.414,0.7,3.26,B.E. / B.TECH,2017,
CIC072022-12433,93.33%,Improvement needed,3.37,0.84,,,Gunjan,5.66%,,,0,,,,,B.E. / B.TECH Non IT,2020,
CIC072022-12443,100.00%,Meets expectations,3.75,0.85,,,Gunjan,100.00%,Need Less Help,Meets expectations,4.04,1.58,1.6375,0.7975,4.02,B.E. / B.TECH IT,2020,FullStack
CIC072022-12493,100.00%,Meets expectations,3.71,0.79,,,Gunjan,96.23%,Need Less Help,Meets expectations,3.98,1.52,1.55,0.7525,3.82,B.E. / B.TECH Non IT,2019,FullStack
CIC072022-12460,100.00%,Meets expectations,3.8,0.82,,,Gunjan,98.11%,Need More Help,Improvement needed,3.68,1.43,1.5125,0.745,3.69,B.E. / B.TECH Non IT,2018,FullStack
CIC062022-12237-BL,100.00%,,3.91,1.64,1.55,0.72,Nagendra,98.39%,Need Less Help,Improvement needed,3.8,1.544,1.582,0.736,3.86,B.E. / B.TECH Non IT,2016,
CIC062022-12238-BL,100.00%,,4.19,1.61,1.67,0.91,Nagendra,96.77%,Need Less Help,Improvement needed,3.8,1.466,1.484,0.772,3.72,MSc CS/IT,2019,
CIC062022-12190-BL,100.00%,Meets expectations,4.43,1.67,1.91,0.85,Ashish,0.00%,,,0,,,,,B.E. / B.TECH Non IT,2016,
