Admit ID,RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
CIC012021-8103,88.0,Need No Help,Meets expectations,4.28,1.64,1.67,B.E. / B.TECH Non IT,0.94,4.26,FullStack_DeepTech,2018.0,Ashish
CIC012021-8106,90.0,Need Less Help,Improvement needed,3.86,1.56,1.58,B.E. / B.TECH Non IT,0.82,3.96,FullStack_DeepTech,2019.0,Ashish
CIC012021-8111,90.0,Need No Help,Improvement needed,4.22,1.58,1.76,B.E. / B.TECH Non IT,0.76,4.1,FullStack_DeepTech,2019.0,Ashish
CIC012021-8112,98.0,Need Less Help,Meets expectations,3.72,1.2,1.27,B.E. / B.TECH Non IT,0.8,3.26,BasicTech,2020.0,Sunil
CIC012021-8116,100.0,Need No Help,Meets expectations,4.61,1.8,1.77,B.E. / B.TECH CS,0.89,4.46,FullStack_DeepTech,2019.0,Gunjan
CIC012021-8118,81.0,Need No Help,Improvement needed,4.16,1.58,1.46,B.E. / B.TECH CS,0.77,3.81,StdTech,2020.0,Ashish
CIC012021-8121,100.0,Need Less Help,Improvement needed,3.94,1.65,1.63,B.E. / B.TECH CS,0.78,4.06,FullStack_DeepTech,2019.0,Gunjan
CIC012021-8126,91.0,Need More Help,Unsatisfactory,2.51,0.92,1.16,B.E. / B.TECH CS,0.67,2.75,BasicTech,2021.0,Sunil
CIC012021-8153,83.0,Need Less Help,Improvement needed,3.88,1.59,1.53,B.E. / B.TECH IT,0.74,3.85,AdvTech_1_2,2019.0,Gunjan
CIC012021-8154,85.0,Need More Help,Improvement needed,3.0,1.05,1.28,B.E. / B.TECH IT,0.67,3.0,StdTech,2016.0,Ashish
CIC012021-8155,100.0,Need Less Help,Meets expectations,4.12,1.61,1.61,MCA,0.82,4.04,FullStack_DeepTech,2019.0,Gunjan
CIC012021-8157,90.0,Need Less Help,Meets expectations,4.06,1.65,1.57,M.E. / M.Tech CS/IT,0.78,4.0,FullStack_DeepTech,2018.0,Gunjan
CIC012021-8160,78.0,Need More Help,Unsatisfactory,2.52,0.85,1.21,B.E. / B.TECH Non IT,0.63,2.69,BasicTech,2019.0,Sunil
CIC012022-10699,87.0,Need More Help,Improvement needed,3.13,1.38,1.45,B.E. / B.TECH CS,0.84,3.67,AdvTech_1_2,2017.0,Sunil
CIC012022-10701,88.0,Need Less Help,Exceeds expectations,3.89,1.31,1.51,B.E. / B.TECH Non IT,0.96,3.78,FullStack_DeepTech,2020.0,Sunil
CIC012022-10702,82.0,Need Less Help,Meets expectations,3.68,1.44,1.48,B.E. / B.TECH Non IT,0.76,3.69,FullStack_DeepTech,2020.0,Nagendra
CIC012022-10703,98.0,Need Less Help,Improvement needed,3.78,1.34,1.49,B.E. / B.TECH Non IT,0.75,3.58,FullStack_DeepTech,2018.0,Sunil
CIC012022-10704,91.0,Need Less Help,Improvement needed,3.77,1.28,1.53,B.E. / B.TECH IT,0.79,3.61,AdvTech_1_2,2018.0,Sunil
CIC012022-10707,86.0,Need More Help,Improvement needed,3.58,1.39,1.55,MSc Non IT,0.77,3.71,AdvTech_1_2,2021.0,Sunil
CIC012022-10708,98.0,Need Less Help,Meets expectations,3.76,1.43,1.48,B.E. / B.TECH Non IT,0.77,3.68,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10709,100.0,Need Less Help,Meets expectations,3.88,1.56,1.54,B.E. / B.TECH Non IT,0.78,3.88,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10710,95.0,Need Less Help,Meets expectations,3.62,1.43,1.44,B.E. / B.TECH Non IT,0.72,3.59,FullStack_DeepTech,2020.0,Nagendra
CIC012022-10720,100.0,Need Less Help,Meets expectations,3.98,1.43,1.67,B.E. / B.TECH Non IT,0.87,3.97,FullStack_DeepTech,2020.0,Sunil
CIC012022-10726,67.0,Need Less Help,Improvement needed,3.98,1.5,1.57,B.E. / B.TECH Non IT,0.7,3.78,FullStack_DeepTech,2022.0,Nagendra
CIC012022-10729,100.0,Need Less Help,Meets expectations,4.22,1.58,1.75,B.E. / B.TECH Non IT,0.86,4.19,FullStack_DeepTech,2016.0,Sunil
CIC012022-10735,87.0,Need Less Help,Meets expectations,4.2,1.4,1.64,B.E. / B.TECH CS,0.84,3.88,AdvTech_1_2,2020.0,Nagendra
CIC012022-10738,83.0,Need Less Help,Improvement needed,3.55,1.24,1.32,B.E. / B.TECH Non IT,0.76,3.32,AdvTech_1_2,2017.0,Ashish
CIC012022-10739,96.0,Need Less Help,Improvement needed,3.73,1.22,1.39,Computer Application,0.82,3.43,AdvTech_1_2,2014.0,Ashish
CIC012022-10740,99.0,Need Less Help,Meets expectations,4.15,1.58,1.58,B.Tech Information Technology,0.94,4.1,AdvTech_1_2,2015.0,Ashish
CIC012022-10743,71.0,Need Less Help,Improvement needed,3.34,1.34,1.49,B.E. / B.TECH Non IT,0.81,3.64,AdvTech_1_2,2020.0,Gunjan
CIC012022-10745,100.0,Need Less Help,Improvement needed,3.99,1.61,1.54,B.E. / B.TECH Non IT,0.78,3.93,FullStack_DeepTech,2020.0,Nagendra
CIC012022-10747,72.0,Need Less Help,Improvement needed,3.86,1.45,1.56,B.E. / B.TECH Non IT,0.81,3.81,FullStack_DeepTech,2018.0,Nagendra
CIC012022-10750,81.0,Need Less Help,Improvement needed,3.92,1.31,1.63,B.E. / B.TECH CS,0.68,3.61,AdvTech_1_2,2021.0,Nagendra
CIC012022-10751,92.0,Need Less Help,Improvement needed,4.06,1.42,1.45,B.E. / B.TECH Non IT,0.61,3.48,StdTech,2020.0,Nagendra
CIC012022-10756,100.0,Need No Help,Meets expectations,4.64,1.59,1.73,B.E. / B.TECH Non IT,0.9,4.23,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10757,93.0,Need Less Help,Meets expectations,4.16,1.54,1.56,B.E. / B.TECH CS,0.84,3.94,FullStack_DeepTech,2018.0,Sunil
CIC012022-10758,94.0,Need Less Help,Improvement needed,3.98,1.34,1.65,B.E. / B.TECH Non IT,0.98,3.97,FullStack_DeepTech,2015.0,Sunil
CIC012022-10782,93.0,Need No Help,Meets expectations,3.34,1.6,1.68,B.E. / B.TECH Non IT,0.85,4.12,FullStack_DeepTech,2017.0,Nagendra
CIC012022-10786,93.0,Need Less Help,Improvement needed,3.74,1.29,1.44,B.E. / B.TECH Non IT,0.8,3.52,AdvTech_1_2,2019.0,Gunjan
CIC012022-10790,96.0,Need Less Help,Meets expectations,4.27,1.46,1.56,B.E. / B.TECH Non IT,0.77,3.79,FullStack_DeepTech,2021.0,Sunil
CIC012022-10791,96.0,Need No Help,Exceeds expectations,4.64,1.66,1.91,B.E. / B.TECH IT,1.0,4.57,FullStack_DeepTech,2020.0,Gunjan
CIC012022-10793,98.0,Need Less Help,Improvement needed,3.85,1.57,1.25,MSc CS/IT,0.63,3.45,AdvTech_1_2,2021.0,Gunjan
CIC012022-10798,83.0,Need Less Help,Exceeds expectations,4.58,1.65,1.59,B.E. / B.TECH Non IT,0.85,4.09,AdvTech_1_2,2017.0,Sunil
CIC012022-10803,88.0,Need Less Help,Meets expectations,3.98,1.44,1.52,B.E. / B.TECH CS,0.94,3.9,FullStack_DeepTech,2018.0,Sunil
CIC012022-10804,93.0,Need Less Help,Improvement needed,3.84,1.33,1.48,B.E. / B.TECH CS,0.77,3.57,AdvTech_1_2,2018.0,Sunil
CIC012022-10809,55.0,Need Less Help,Meets expectations,3.34,1.51,1.6,B.E. / B.TECH Non IT,0.79,3.91,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10817,82.0,Need Less Help,Meets expectations,3.34,1.42,1.53,B.E. / B.TECH Non IT,0.88,3.83,AdvTech_1_2,2021.0,Sunil
CIC012022-10823,98.0,Need Less Help,Improvement needed,3.74,1.47,1.48,B.E. / B.TECH Non IT,0.69,3.64,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10826,84.0,Need Less Help,Improvement needed,3.84,1.39,1.47,B.E. / B.TECH Non IT,0.7,3.56,AdvTech_1_2,2020.0,Sunil
CIC012022-10829,71.0,Need More Help,Improvement needed,3.47,1.22,1.52,B.E. / B.TECH Non IT,0.73,3.46,AdvTech_1_2,2021.0,Ashish
CIC012022-10830,98.0,Need More Help,Improvement needed,3.86,1.36,1.3,B.E. / B.TECH Non IT,0.67,3.33,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10839,86.0,Need Less Help,Improvement needed,3.8,1.47,1.48,B.E. / B.TECH Non IT,0.75,3.69,FullStack_DeepTech,2018.0,Sunil
CIC012022-10841,85.0,Need More Help,Improvement needed,3.79,1.32,1.39,B.E. / B.TECH Non IT,0.97,3.69,FullStack_DeepTech,2021.0,Sunil
CIC012022-10845,100.0,Need No Help,Exceeds expectations,4.58,1.54,1.67,B.E. / B.TECH Non IT,0.82,4.03,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10846,100.0,Need No Help,Exceeds expectations,4.46,1.48,1.46,B.E. / B.TECH Non IT,0.74,3.69,FullStack_DeepTech,2020.0,Nagendra
CIC012022-10848,81.0,Need Less Help,Meets expectations,4.52,1.73,1.72,MCA,0.99,4.44,FullStack_DeepTech,2022.0,Sunil
CIC012022-10850,75.0,Need Less Help,Improvement needed,3.36,1.15,1.39,BSc CS,0.71,3.25,AdvTech_1_2,2020.0,Ashish
CIC012022-10851,86.0,Need More Help,Meets expectations,3.7,1.25,1.42,B.E. / B.TECH Non IT,0.85,3.52,FullStack_DeepTech,2018.0,Sunil
CIC012022-10852,98.0,Need Less Help,Improvement needed,3.62,1.34,1.48,B.E. / B.TECH Non IT,0.8,3.62,StdTech,2018.0,Ashish
CIC012022-10864,95.0,Need Less Help,Improvement needed,3.8,1.51,1.56,B.E. / B.TECH Non IT,0.77,3.85,AdvTech_1_2,2021.0,Sunil
CIC012022-10868,100.0,Need Less Help,Meets expectations,4.36,1.48,1.54,B.E. / B.TECH CS,0.91,3.92,FullStack_DeepTech,2020.0,Ashish
CIC012022-10869,90.0,Need Less Help,Meets expectations,4.4,1.48,1.78,B.E. / B.TECH CS,0.89,4.14,FullStack_DeepTech,2020.0,Gunjan
CIC012022-10873,74.0,Need Less Help,Improvement needed,3.71,1.36,1.43,M.E. / M.Tech Non IT,0.92,3.71,FullStack_DeepTech,2021.0,Ashish
CIC012022-10883,94.0,Need Less Help,Exceeds expectations,3.62,1.59,1.48,B.E. / B.TECH Non IT,0.92,3.99,AdvTech_1_2,2020.0,Nagendra
CIC012022-10885,84.0,Need Less Help,Meets expectations,4.1,1.47,1.59,B.E. / B.TECH Non IT,0.67,3.73,FullStack_DeepTech,2019.0,Gunjan
CIC012022-10905,92.0,Need No Help,Exceeds expectations,3.68,1.45,1.42,B.E. / B.TECH CS,0.75,3.62,AdvTech_1_2,2019.0,Ashish
CIC012022-10906,92.0,Need No Help,Exceeds expectations,3.69,1.58,1.45,B.E. / B.TECH Non IT,0.69,3.72,FullStack_DeepTech,2019.0,Ashish
CIC012022-10912,48.0,Need Less Help,Improvement needed,3.62,1.38,1.37,B.E. / B.TECH Non IT,0.84,3.59,FullStack_DeepTech,2021.0,Ashish
CIC012022-10916,89.0,Need No Help,Meets expectations,3.64,1.48,1.37,MSc CS/IT,0.71,3.56,StdTech,2021.0,Ashish
CIC012022-10917,90.0,Need Less Help,Meets expectations,4.03,1.51,1.64,B.E. Mechanical Engineering,0.88,4.03,AdvTech_1_2,2017.0,Sunil
CIC012022-10918,90.0,Need Less Help,Meets expectations,4.03,1.51,1.64,B.E. Electrical Engineering,0.88,4.03,FullStack_DeepTech,2014.0,Sunil
CIC012022-10921,96.0,Need More Help,Improvement needed,3.33,1.31,1.42,B.E. / B.TECH Non IT,0.76,3.49,AdvTech_1_2,2019.0,Ashish
CIC012022-10932,100.0,Need No Help,Exceeds expectations,4.64,1.47,1.69,B.E. / B.TECH CS,0.99,4.14,FullStack_DeepTech,2018.0,Gunjan
CIC012022-10936,93.0,Need Less Help,Meets expectations,4.16,1.59,1.6,B.E. / B.TECH CS,0.79,3.98,FullStack_DeepTech,2019.0,Sunil
CIC012022-10940,97.0,Need More Help,Improvement needed,3.68,1.33,1.42,B.E. / B.TECH Non IT,0.8,3.55,AdvTech_1_2,2017.0,Nagendra
CIC012022-10942,96.0,Need More Help,Unsatisfactory,2.66,0.81,1.15,B.E. / B.TECH CS,0.7,2.66,BasicTech,2020.0,Ashish
CIC012022-10944,95.0,Need No Help,Meets expectations,4.4,1.57,1.82,B.Tech Information Technology,0.96,4.34,AdvTech_1_2,2017.0,Sunil
CIC012022-10946,94.0,Need No Help,Meets expectations,4.4,1.46,1.45,B.E. / B.TECH IT,0.78,3.69,AdvTech_1_2,2021.0,Nagendra
CIC012022-10947,84.0,Need Less Help,Meets expectations,3.6,1.44,1.43,B.E. / B.TECH Non IT,0.8,3.67,FullStack_DeepTech,2019.0,Ashish
CIC012022-10953,84.0,Need Less Help,Meets expectations,3.98,1.6,1.61,B.E. / B.TECH CS,0.78,4.0,FullStack_DeepTech,2019.0,Sunil
CIC012022-10955,98.0,Need More Help,Improvement needed,3.68,1.31,1.43,B.E. Mechanical Engineering,0.78,3.51,AdvTech_1_2,2021.0,Nagendra
CIC012022-10957,66.0,Need Less Help,Exceeds expectations,4.88,1.74,1.78,B.E. / B.TECH Non IT,0.96,4.48,FullStack_DeepTech,2021.0,Gunjan
CIC012022-10958,71.0,Need Less Help,Improvement needed,3.98,1.57,1.6,Other IT,0.7,3.87,FullStack_DeepTech,2021.0,Gunjan
CIC012022-10959,98.0,Need No Help,Meets expectations,4.37,1.67,1.72,B.E. / B.TECH Non IT,0.98,4.37,FullStack_DeepTech,2020.0,Nagendra
CIC012022-10960,79.0,Need More Help,Meets expectations,3.5,1.24,1.41,MCA,0.74,3.39,AdvTech_1_2,2016.0,Gunjan
CIC012022-10971,84.0,Need Less Help,Meets expectations,3.34,1.41,1.59,B.E. / B.TECH Non IT,0.94,3.94,FullStack_DeepTech,2020.0,Sunil
CIC012022-10972,82.0,Need Less Help,Meets expectations,4.28,1.56,1.77,B.E. / B.TECH CS,0.99,4.32,FullStack_DeepTech,2020.0,Nagendra
CIC012022-10978,65.0,Need More Help,Unsatisfactory,2.73,1.1,1.27,B.E. / B.TECH CS,0.66,3.03,BasicTech,2021.0,Sunil
CIC012022-10980,87.0,Need Less Help,Meets expectations,3.86,1.53,1.56,B.E. / B.TECH Non IT,0.78,3.87,AdvTech_1_2,2020.0,Sunil
CIC012022-10981,96.0,Need Less Help,Meets expectations,4.39,1.62,1.63,B.E. / B.TECH CS,0.96,4.21,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10982,86.0,Need More Help,Improvement needed,3.02,1.17,1.39,B.E. / B.TECH IT,0.96,3.51,FullStack_DeepTech,2021.0,Nagendra
CIC012022-10988,83.0,Need Less Help,Meets expectations,4.58,1.69,1.76,BSc Non IT,0.99,4.44,FullStack_DeepTech,2018.0,Gunjan
CIC012022-10993,77.0,Need Less Help,Meets expectations,3.73,1.36,1.46,B.E. / B.TECH Non IT,0.79,3.61,AdvTech_1_2,2017.0,Sunil
CIC012022-10994,95.0,Need Less Help,Improvement needed,3.98,1.54,1.61,B.Tech Electrical Engineering,0.87,4.02,FullStack_DeepTech,2020.0,Ashish
CIC022021-8162,96.0,Need No Help,Meets expectations,4.03,1.58,1.57,B.E. / B.TECH CS,0.76,3.91,FullStack_DeepTech,2019.0,Gunjan
CIC022021-8164,92.0,Need Less Help,Meets expectations,4.19,1.67,1.62,B.E. / B.TECH CS,0.8,4.09,FullStack_DeepTech,2020.0,Gunjan
CIC022021-8165,96.0,Need Less Help,Improvement needed,3.68,1.27,1.53,B.E. / B.TECH CS,0.81,3.61,AdvTech_1_2,2016.0,Dilip
CIC022021-8175,67.0,Need Less Help,Meets expectations,4.14,1.49,1.76,B.E. / B.TECH CS,0.91,4.16,FullStack_DeepTech,2020.0,Sunil
CIC022021-8176,77.0,Need Less Help,Improvement needed,3.57,1.33,1.54,B.E. / B.TECH Non IT,0.75,3.62,AdvTech_1_2,2020.0,Ashish
CIC022021-8177,83.0,Need More Help,Unsatisfactory,3.08,1.19,1.38,MCA,0.74,3.31,BasicTech,2019.0,Dilip
CIC022021-8180,69.0,Need Less Help,Improvement needed,3.6,1.41,1.49,B.E. / B.TECH Non IT,0.82,3.72,FullStack_DeepTech,2018.0,Sunil
CIC022021-8188,96.0,Need More Help,Improvement needed,3.73,1.37,1.4,B.E. / B.TECH CS,0.78,3.55,StdTech,2020.0,Dilip
CIC022021-8190,50.0,Need Less Help,Improvement needed,3.34,1.32,1.44,MSc Non IT,0.81,3.57,FullStack_DeepTech,2021.0,Ashish
CIC022021-8191,58.0,Need Less Help,Meets expectations,3.67,1.4,1.39,B.E. / B.TECH CS,0.88,3.67,StdTech,2018.0,Sunil
CIC022021-8192,76.0,Need More Help,Improvement needed,3.34,1.24,1.3,B.E. / B.TECH Non IT,0.74,3.28,StdTech,2018.0,Gunjan
CIC022021-8194,88.0,Need More Help,Improvement needed,3.14,1.2,1.29,B.E. / B.TECH CS,0.66,3.15,BasicTech,2018.0,Dilip
CIC022021-8195,83.0,Need More Help,Improvement needed,2.03,0.7,0.74,B.E. / B.TECH Non IT,0.43,1.88,BasicTech,2019.0,Ashish
CIC022021-8198,69.0,Need Less Help,Meets expectations,3.92,1.66,1.88,B.E. / B.TECH Non IT,0.84,4.39,AdvTech_1_2,2018.0,Sunil
CIC022021-8201,100.0,Need Less Help,Meets expectations,4.39,1.54,1.8,M.E. / M.Tech CS/IT,0.92,4.26,FullStack_DeepTech,2018.0,Dilip
CIC022021-8203,100.0,Need More Help,Improvement needed,3.4,1.16,1.64,B.E. / B.TECH Non IT,0.67,3.47,AdvTech_1_2,2019.0,Ashish
CIC022021-8204,69.0,Need More Help,Improvement needed,3.53,1.36,1.33,B.E. / B.TECH Non IT,0.78,3.48,AdvTech_1_2,2018.0,Sunil
CIC022021-8205,92.0,Need Less Help,Improvement needed,3.67,1.24,1.54,B.E. / B.TECH CS,0.85,3.62,FullStack_DeepTech,2018.0,Dilip
CIC022021-8206,94.0,Need More Help,Improvement needed,2.66,0.71,1.19,B.E. / B.TECH Non IT,0.67,2.58,BasicTech,2019.0,Ashish
CIC022021-8209,83.0,Need No Help,Meets expectations,3.34,1.51,1.75,B.E. / B.TECH Non IT,0.91,4.16,FullStack_DeepTech,2020.0,Ashish
CIC022021-8212,94.0,Need Less Help,Improvement needed,4.16,1.39,1.62,B.E. / B.TECH CS,0.9,3.91,FullStack_DeepTech,2019.0,Dilip
CIC022021-8218,79.0,Need No Help,Meets expectations,4.16,1.6,1.48,B.E. / B.TECH Non IT,0.74,3.82,StdTech,2019.0,Ashish
CIC022021-8220,89.0,Need More Help,Improvement needed,2.73,1.2,1.22,B.E. / B.TECH Non IT,0.7,3.12,FullStack_DeepTech,2019.0,Gunjan
CIC022021-8222,92.0,Need Less Help,Improvement needed,4.01,1.5,1.6,B.E. / B.TECH Non IT,0.79,3.89,StdTech,2019.0,Ashish
CIC022021-8223,96.0,Need More Help,Improvement needed,3.35,1.28,1.44,B.E. / B.TECH CS,0.69,3.41,AdvTech_1_2,2019.0,Dilip
CIC022021-8224,100.0,Need Less Help,Improvement needed,3.98,1.32,1.63,B.E. / B.TECH CS,0.82,3.77,StdTech,2019.0,Dilip
CIC022021-8225,96.0,Need More Help,Improvement needed,3.8,1.3,1.32,MCA,0.7,3.32,BasicTech,2016.0,Dilip
CIC022021-8227,100.0,Need Less Help,Improvement needed,3.01,1.1,1.25,B.E. / B.TECH CS,0.72,3.07,StdTech,2018.0,Gunjan
CIC022021-8230,98.0,Need Less Help,Meets expectations,3.85,1.4,1.53,MSc Non IT,0.77,3.7,StdTech,2020.0,Dilip
CIC022021-8231,91.0,Need No Help,Improvement needed,4.02,1.49,1.6,B.E. / B.TECH CS,0.77,3.86,FullStack_DeepTech,2020.0,Ashish
CIC022021-8235,77.0,Need Less Help,Improvement needed,3.98,1.39,1.59,B.E. / B.TECH Non IT,0.9,3.88,StdTech,2019.0,Ashish
CIC022021-8236,73.0,Need Less Help,Improvement needed,3.56,1.31,1.29,B.E. / B.TECH CS,0.76,3.36,StdTech,2020.0,Dilip
CIC022021-8237,96.0,Need Less Help,Meets expectations,3.85,1.51,1.53,B.E. / B.TECH CS,0.76,3.81,StdTech,2020.0,Dilip
CIC022021-8239,89.0,Need More Help,Improvement needed,3.37,1.12,1.3,M.E. / M.Tech Non IT,0.61,3.04,BasicTech,2017.0,Ashish
CIC022021-8249,100.0,Need More Help,Improvement needed,3.41,1.24,1.39,B.E. / B.TECH Non IT,0.73,3.36,BasicTech,2018.0,Ashish
CIC022021-8250,75.0,Need More Help,Improvement needed,3.45,1.27,1.36,MCA,0.72,3.35,StdTech,2019.0,Ashish
CIC022021-8252,83.0,Need Less Help,Improvement needed,3.61,1.31,1.47,MCA,0.74,3.52,StdTech,2019.0,Ashish
CIC022021-8253,79.0,Need No Help,Meets expectations,3.34,1.4,1.82,B.E. / B.TECH CS,0.88,4.1,FullStack_DeepTech,2020.0,Ashish
CIC022021-8255,81.0,Need Less Help,Improvement needed,3.15,1.37,1.35,B.E. / B.TECH CS,0.72,3.44,BasicTech,2020.0,Gunjan
CIC022021-8256,100.0,Need Less Help,Meets expectations,3.91,1.37,1.54,B.E. / B.TECH Non IT,0.84,3.75,FullStack_DeepTech,2018.0,Dilip
CIC022021-8257,96.0,Need Less Help,Improvement needed,3.78,1.23,1.65,B.E. / B.TECH Non IT,0.86,3.74,AdvTech_1_2,2020.0,Ashish
CIC022021-8258,89.0,Need More Help,Improvement needed,2.8,1.06,1.18,B.E. / B.TECH Non IT,0.68,2.92,BasicTech,2018.0,Gunjan
CIC022021-8259,91.0,Need No Help,Meets expectations,4.19,1.45,1.65,B.E. / B.TECH CS,0.84,3.94,FullStack_DeepTech,2018.0,Ashish
CIC022021-8260,90.0,Need Less Help,Improvement needed,3.49,1.52,1.54,B.E. / B.TECH CS,0.79,3.85,FullStack_DeepTech,2020.0,Gunjan
CIC022021-8261,98.0,Need Less Help,Meets expectations,3.97,1.42,1.57,B.E. / B.TECH Non IT,0.87,3.85,FullStack_DeepTech,2019.0,Dilip
CIC022021-8262,98.0,Need Less Help,Meets expectations,4.09,1.41,1.66,B.E. / B.TECH Non IT,0.99,4.06,AdvTech_1_2,2020.0,Ashish
CIC022021-8264,96.0,Need No Help,Improvement needed,4.09,1.46,1.54,B.E. / B.TECH IT,0.87,3.87,AdvTech_1_2,2017.0,Ashish
CIC022021-8266,77.0,Need Less Help,Improvement needed,3.84,1.19,1.52,B.E. / B.TECH IT,0.78,3.49,StdTech,2020.0,Sunil
CIC022021-8269,50.0,Need More Help,Improvement needed,3.19,1.29,1.42,B.E. / B.TECH Non IT,0.76,3.46,BasicTech,2021.0,Ashish
CIC022021-8274,85.0,Need More Help,Improvement needed,3.59,1.25,1.35,PG CS/IT,0.72,3.32,BasicTech,2020.0,Ashish
CIC022021-8275,79.0,Need Less Help,Improvement needed,3.27,1.37,1.4,B.E. / B.TECH Non IT,0.86,3.63,FullStack_DeepTech,2020.0,Gunjan
CIC022021-8276,84.0,Need Less Help,Improvement needed,3.15,1.16,1.33,B.E. / B.TECH Non IT,0.74,3.23,FullStack_DeepTech,2020.0,Gunjan
CIC022021-8300,100.0,Need No Help,Meets expectations,4.07,1.51,1.64,Other IT,0.75,3.91,FullStack_DeepTech,2018.0,Sunil
CIC022021-8449,83.0,Need Less Help,Meets expectations,4.28,1.59,1.7,B.E. / B.TECH Non IT,0.91,4.2,AdvTech_1_2,2019.0,Dilip
CIC022021-8456,58.0,Need Less Help,Improvement needed,3.53,1.35,1.42,B.E. / B.TECH CS,0.83,3.6,StdTech,2019.0,Ashish
CIC022022-10996,57.0,Need More Help,Improvement needed,3.49,1.42,1.41,Mechatronics Engineering,0.76,3.59,AdvTech_1_2,2018.0,Ashish
CIC022022-10997,98.0,Need Less Help,Improvement needed,3.48,1.36,1.42,B.E. / B.TECH Non IT,0.8,3.59,FullStack_DeepTech,2020.0,Nagendra
CIC022022-10999,95.0,Need Less Help,Meets expectations,4.15,1.51,1.7,B.E. Mechanical Engineering,0.94,4.15,AdvTech_1_2,2012.0,Sunil
CIC022022-11003,62.0,Need Less Help,Meets expectations,4.52,1.74,1.68,B.E. / B.TECH IT,0.84,4.26,AdvTech_1_2,2018.0,Gunjan
CIC022022-11004,89.0,Need Less Help,Improvement needed,3.34,1.39,1.52,B.E. / B.TECH Non IT,0.87,3.78,FullStack_DeepTech,2021.0,Sunil
CIC022022-11005,100.0,Need No Help,Exceeds expectations,3.43,1.48,1.28,PG Non IT,0.73,3.48,AdvTech_1_2,2020.0,Ashish
CIC022022-11006,56.0,Need Less Help,Improvement needed,3.67,1.33,1.43,B.E. / B.TECH IT,0.82,3.58,FullStack_DeepTech,2020.0,Nagendra
